Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam
19/08/2023,15:56:56,arb,0x073b82555ebc91542871df0a3a8e300b25aa53bbf024f7a71f3dee2eb5e0f0f3,https://arbiscan.io/tx/0x073b82555ebc91542871df0a3a8e300b25aa53bbf024f7a71f3dee2eb5e0f0f3,startUnstaking,0x5ca0f33f1ebd140def87721291ff313a9141f79e,GameSwift,ETH,token,-0.00025,-0.41525,no
19/08/2023,15:43:43,op,0x92c16a337f8181a5a3ccba13409cc59205cd951734c73fb1ab87ad0b7c00f1b4,https://optimistic.etherscan.io/tx/0x92c16a337f8181a5a3ccba13409cc59205cd951734c73fb1ab87ad0b7c00f1b4,receive,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,0.07000000000000006,116.27000000000011,no
19/08/2023,15:33:33,op,0x1a3aa7ea5b46be61483cb7153bdd927be8643a67f58eab9d2b4f260252316f85,https://optimistic.etherscan.io/tx/0x1a3aa7ea5b46be61483cb7153bdd927be8643a67f58eab9d2b4f260252316f85,receive,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,0.2871,476.8731,no
19/08/2023,15:21:21,zora,0x8cbafaa81ea2ba353ae6f810cb3050938c3e27d069cc9c07c3f04858bbbcf1f7,https://explorer.zora.energy/tx/0x8cbafaa81ea2ba353ae6f810cb3050938c3e27d069cc9c07c3f04858bbbcf1f7,send,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,-0.29150000000000903,-484.181500000015,no
19/08/2023,15:45:45,op,0xb71571b550b286db344957e2193d4d50656ab043577a0d921daa992a55ebde27,https://optimistic.etherscan.io/tx/0xb71571b550b286db344957e2193d4d50656ab043577a0d921daa992a55ebde27,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.0509694,84.66017339999999,no
19/08/2023,15:13:13,base,0x8ed70e498efadd3c75821a7273620b6076bd926defe359359b934d1d828a2024,https://basescan.org/tx/0x8ed70e498efadd3c75821a7273620b6076bd926defe359359b934d1d828a2024,swapETH,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,Stargate,ETH,token,-0.05179353944943371,-86.00731573894063,no
19/08/2023,15:07:07,op,0x3022c3776cb4f7780349fc11d55575db293c150de2144d244083c336bc51fa9e,https://optimistic.etherscan.io/tx/0x3022c3776cb4f7780349fc11d55575db293c150de2144d244083c336bc51fa9e,packedTransmitAndSwap,0x5130f6ce257b8f9bf7fac0a0b519bd588120ed40,Clipper,ETH,token,0.06114137648069118,101.55582633442805,no
,,,,,,,,USDC,token,-101.77,-101.80053099999999,
19/08/2023,15:53:53,op,0x229d2bb21289af416d785d5e24353159b664d12ed2da786077a2e9c3836f6c3e,https://optimistic.etherscan.io/tx/0x229d2bb21289af416d785d5e24353159b664d12ed2da786077a2e9c3836f6c3e,approve,0x5130f6ce257b8f9bf7fac0a0b519bd588120ed40,Clipper,,,,,no
19/08/2023,15:43:43,op,0xecf4934169e3e0b62aaa1b3ae698d76a258e5c2c699d9bba1fd17d8c09549ef1,https://optimistic.etherscan.io/tx/0xecf4934169e3e0b62aaa1b3ae698d76a258e5c2c699d9bba1fd17d8c09549ef1,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.02295415307788295,38.12684826236358,no
